iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","3,532,457,624.03","7.21","3,532,457,624.03","16,182,407.00","218.29","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","3,332,534,195.19","6.80","3,332,534,195.19","10,029,597.00","332.27","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","2,554,383,841.56","5.21","2,554,383,841.56","5,153,812.00","495.63","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,727,978,413.36","3.52","1,727,978,413.36","6,729,412.00","256.78","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","1,368,247,803.50","2.79","1,368,247,803.50","4,042,091.00","338.50","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,168,209,060.14","2.38","1,168,209,060.14","3,227,186.00","361.99","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","1,106,435,532.90","2.26","1,106,435,532.90","3,298,362.00","335.45","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","988,148,545.50","2.02","988,148,545.50","1,524,850.00","648.03","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","762,621,136.42","1.56","762,621,136.42","781,967.00","975.26","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","740,558,678.40","1.51","740,558,678.40","2,026,485.00","365.44","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","660,748,228.28","1.35","660,748,228.28","1,854,836.00","356.23","United States","NYSE","USD","1.00","USD","-"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","659,328,119.31","1.34","659,328,119.31","1,291,863.00","510.37","United States","NYSE","USD","1.00","USD","-"
