"relative_path","sha256","length","last_write_time"
"docs\TradingbotR1000_Strategy_Specification_FINAL_v1.1.docx","F70F6AF8633044A4F62D3FE5E4AE5EBDE6E3F96339C336271496C03705B0C034","33556","2026-07-21T19:18:59"
"docs\PROJECT_SPECIFICATION.md","EE1B57BFAD414B3FDD53971F903D955FE21FAEB7AC8DAA2ACE951A432A7DAEB6","11639","2026-07-23T09:12:00"
"docs\MIGRATION_MATRIX.md","F272A68488A3D52514B7E93D1CDCD2AB695876970EED82B947220EA8BDFF0099","34951","2026-07-22T21:33:35"
"docs\Current_State_Audit.md","F4D22DAD405DCB80234441EA5F10D1FFA3DE09549D7BC95663D20DD93C323012","13769","2026-07-24T10:58:52"
"docs\Data_Integrity_and_Universe_Plan.md","97695D1C65B0837E9C73F74ED9A696D913D9DB55DFFED2B98ADD765BEEAF2B9D","16278","2026-07-24T10:58:48"
"docs\Market_Regime_Research_Plan.md","6C8F174B6A7C179F3B44FB602EC5AB3203DFDC50229B3DDC6A8A14421098BB0D","9583","2026-07-24T10:58:49"
"docs\Implementation_Roadmap.md","7515B33EAF2650BAA3ABC7B9531B033D7787B96001225F4DD43A928BBF19413C","13726","2026-07-24T10:58:47"
"docs\Planning_Decisions_Required.md","1A96579E5740B73BB0A6A094A018F0A90C785BEE64A1F42C0AB21B8AE9304708","6000","2026-07-24T10:58:51"
"docs\Project_Phase_Definition_Data_Integrity_And_Regime_Research.md","E237DCA19A77273F4C2978FA7F6C38EFB3B3D1DDA08746FE24CE033B8ED2A86D","2916","2026-07-24T10:58:53"
"docs\PROJECT_PROGRESS.json","B8AAF685F6A4567F628ECF83C5EF1C75371D0DD91A5F0C5FF6929763EF5AF95C","12835","2026-07-24T11:03:06"
"docs\PROJECT_PROGRESS.md","8BB149F6965D6D17EA9A0DC17E01035002175159BF320913E14E0D5DA250CC5D","1877","2026-07-24T11:03:08"
"IWB_holdings.csv","7A8B869EF3C9303930BB7C4AD64261A1C831C710405678998FA5DFBFAC50EE4E","165137","2026-07-20T21:13:04"
"current_reference\PaperTradingR1000\config.py","CE01EB195BF498FF0343C49368EB774A4070ADF475CA0180A7FAF7C35B400A3A","4736","2026-07-23T09:03:07"
"current_reference\PaperTradingR1000\trading_engine.py","11718F7F0C93596FA67955E8CCB4DBDFBF685DE42E76C341052B51EA050FFEB0","25796","2026-07-23T09:10:43"
"current_reference\PaperTradingR1000\strategy.py","0BC4CC57A11AF46908B287DA526F53D542A3B9E64E62B6169C003AE7E80FDE60","9544","2026-07-21T22:37:06"
"current_reference\PaperTradingR1000\automated_broker.py","6CB1AE27E25EE44B268AAECD16834A0C07FB7AF200C8C7555930B3D6F088E4A4","11934","2026-07-23T09:10:15"
"current_reference\PaperTradingR1000\automated_order_store.py","5E05A471B0477D2860059B52B5C92619913B4A69FA1C53177763056D464CB7DA","10761","2026-07-23T09:04:19"
"current_reference\PaperTradingR1000\reconciliation.py","270D376EE4D8D629410DF47270A8F284643CF4B90F9DA8CF4E806C525A95161D","5050","2026-07-23T08:01:51"
"current_reference\PaperTradingR1000\symbol_mapping.py","CD9C7BE089D4AFA03431B8D16048ACBC7D960891196AC297AF9D68B9DFB7E8D2","3134","2026-07-22T11:42:28"
"current_reference\PaperTradingR1000\strategy_scheduler.py","99C9C6FFE013CB26B7311CE1A7F7764322B5DAFC37E5F4D4999CCC307BA3BACC","5728","2026-07-23T09:14:21"
"current_reference\PaperTradingR1000\manual_control_console.py","33D957FD94EA54ACE1F065634E5013331C2909B5831B35D113AB26F98B889A18","87945","2026-07-23T09:05:28"
"current_reference\PaperTradingR1000\config_files\strategy_constants.json","405BE6B000C2C36B48928B1BEF28A8122E5BD10FFFCE4149E517F23132A73CE3","478","2026-07-21T22:38:12"
"current_reference\PaperTradingR1000\config_files\universe_config.json","5E86135785AF9540D8B31A6B5091B7F4CEC4D8B539E5EFFEC7FEC6520470E074","327","2026-07-21T22:46:27"
"current_reference\PaperTradingR1000\config_files\order_execution_config.json","73E08B2EA6DC0521D9387D84B75F4CB0F9AAA11BDF565A4B5A3FC1771E47BDA1","284","2026-07-21T16:56:36"
"backtests\r1000_max_positions_corrected\strategy_analysis\Research_Master_Plan.md","40826A7F3F00CB5CC05EB0F571262CF03ADC74F7C5AEFB24D419A1D6C9722790","6623","2026-07-24T11:03:09"
"backtests\r1000_max_positions_corrected\strategy_analysis\Strategy_Research_Journal.md","5FB4750C0566F53827EBCEC9CFA96E4ED3A1A19902F088C843FCA10F0D8468FF","46701","2026-07-24T11:03:35"
"backtests\r1000_max_positions_corrected\strategy_analysis\Experiment_Registry.csv","F38B2DF17470ACC1EEA914BFD7EE362A819DB288552CE1EAD4043D2C86F098EC","6738","2026-07-24T11:03:37"
