ticker,name,con_id,local_symbol,date,open,high,low,close,volume,bar_count,average
AAPL,APPLE INC,265598,AAPL,20260717,332.17,334.99,329.0,333.74,1074154,355728,332.404
AAPL,APPLE INC,265598,AAPL,20260720,333.5,333.71,323.68,326.59,843997,321934,326.989
NVDA,NVIDIA CORP,4815747,NVDA,20260717,202.64,206.65,197.97,202.81,837195,383869,203.183
NVDA,NVIDIA CORP,4815747,NVDA,20260720,205.87,207.74,202.28,203.28,527509,248330,204.885
MSFT,MICROSOFT CORP,272093,MSFT,20260717,395.22,398.39,389.39,393.82,463098,177262,393.848
MSFT,MICROSOFT CORP,272093,MSFT,20260720,391.41,403.18,389.65,402.29,461173,189271,398.275
AMZN,AMAZON.COM INC,3691937,AMZN,20260717,244.78,250.24,243.59,247.23,213528,111912,247.343
AMZN,AMAZON.COM INC,3691937,AMZN,20260720,248.76,252.89,248.0,249.99,168798,93793,250.327
GOOGL,ALPHABET INC CLASS A,208813719,GOOGL,20260717,346.0,348.52,341.36,346.77,394312,156498,345.742
GOOGL,ALPHABET INC CLASS A,208813719,GOOGL,20260720,351.03,359.68,350.52,351.99,352453,154620,355.005
AVGO,BROADCOM INC,313130367,AVGO,20260717,366.33,377.35,357.8,370.82,317018,124720,369.644
AVGO,BROADCOM INC,313130367,AVGO,20260720,378.52,383.59,375.96,378.16,193359,81265,379.803
GOOG,ALPHABET INC CLASS C,208813720,GOOG,20260717,345.88,348.17,341.12,346.12,304564,119485,345.161
GOOG,ALPHABET INC CLASS C,208813720,GOOG,20260720,350.17,359.49,349.89,351.37,204308,90837,354.779
META,META PLATFORMS INC CLASS A,107113386,META,20260717,647.7,652.2,626.0,646.01,374337,156066,641.955
META,META PLATFORMS INC CLASS A,107113386,META,20260720,646.95,653.3,636.01,645.85,149159,62992,646.275
TSLA,TESLA INC,76792991,TSLA,20260717,382.16,385.69,377.22,380.84,555893,189288,381.512
TSLA,TESLA INC,76792991,TSLA,20260720,386.05,386.61,369.42,369.57,644517,224571,374.19
MU,MICRON TECHNOLOGY INC,9939,MU,20260717,822.53,903.96,804.0,848.95,1088029,419023,862.981
MU,MICRON TECHNOLOGY INC,9939,MU,20260720,885.64,901.0,858.9,865.46,618195,249467,881.036
LLY,ELI LILLY,9160,LLY,20260717,1159.45,1187.95,1151.01,1179.11,34554,16322,1175.283
LLY,ELI LILLY,9160,LLY,20260720,1179.65,1187.12,1144.43,1146.9,32157,14808,1162.915
JPM,JPMORGAN CHASE & CO,1520593,JPM,20260717,339.03,346.13,335.05,341.1,132505,52707,341.733
JPM,JPMORGAN CHASE & CO,1520593,JPM,20260720,341.8,344.26,337.37,338.87,72095,34895,339.914
AMD,ADVANCED MICRO DEVICES INC,4391,AMD,20260717,476.88,505.88,460.21,495.76,172548,96612,488.212
AMD,ADVANCED MICRO DEVICES INC,4391,AMD,20260720,516.7,522.44,502.36,503.57,131015,73502,512.869
XOM,EXXONMOBIL HOLDINGS CORP,895178251,XOM,20260717,149.03,150.0,147.17,147.36,80680,43737,148.359
XOM,EXXONMOBIL HOLDINGS CORP,895178251,XOM,20260720,146.5,149.09,146.23,148.36,56569,33558,148.366
JNJ,JOHNSON & JOHNSON,8719,JNJ,20260717,252.48,255.66,251.95,253.04,51917,28080,253.449
JNJ,JOHNSON & JOHNSON,8719,JNJ,20260720,252.01,254.18,248.63,248.82,36945,19709,250.266
V,VISA INC CLASS A,49462172,V,20260717,363.57,364.63,357.0,358.56,103198,41961,359.525
V,VISA INC CLASS A,49462172,V,20260720,357.1,363.0,356.43,360.57,110370,48599,360.848
WMT,WALMART INC,13824,WMT,20260717,116.98,118.09,113.6,114.24,126929,67470,115.519
WMT,WALMART INC,13824,WMT,20260720,113.96,114.4,112.14,112.2,90854,55539,112.874
ABBV,ABBVIE INC,118089500,ABBV,20260717,257.0,260.96,254.29,254.49,34130,17507,256.901
ABBV,ABBVIE INC,118089500,ABBV,20260720,253.1,256.15,252.68,253.38,18587,11051,253.719
CSCO,CISCO SYSTEMS INC,268084,CSCO,20260717,109.17,113.23,108.91,111.94,127666,70429,111.809
