ticker,name,status,bars_received,attempts,elapsed_seconds,con_id,local_symbol,primary_exchange,error
AAPL,APPLE INC,OK,2,1,0.918,265598,AAPL,NASDAQ,
NVDA,NVIDIA CORP,OK,2,1,0.78,4815747,NVDA,NASDAQ,
MSFT,MICROSOFT CORP,OK,2,1,0.621,272093,MSFT,NASDAQ,
AMZN,AMAZON.COM INC,OK,2,1,0.592,3691937,AMZN,NASDAQ,
GOOGL,ALPHABET INC CLASS A,OK,2,1,0.59,208813719,GOOGL,NASDAQ,
AVGO,BROADCOM INC,OK,2,1,0.564,313130367,AVGO,NASDAQ,
GOOG,ALPHABET INC CLASS C,OK,2,1,0.582,208813720,GOOG,NASDAQ,
META,META PLATFORMS INC CLASS A,OK,2,1,0.543,107113386,META,NASDAQ,
TSLA,TESLA INC,OK,2,1,0.586,76792991,TSLA,NASDAQ,
MU,MICRON TECHNOLOGY INC,OK,2,1,0.636,9939,MU,NASDAQ,
LLY,ELI LILLY,OK,2,1,0.709,9160,LLY,NYSE,
BRKB,BERKSHIRE HATHAWAY INC CLASS B,ERROR,0,2,51.012,,,,Timeout qualificazione contratto
JPM,JPMORGAN CHASE & CO,OK,2,1,1.437,1520593,JPM,NYSE,
AMD,ADVANCED MICRO DEVICES INC,OK,2,1,1.025,4391,AMD,NASDAQ,
XOM,EXXONMOBIL HOLDINGS CORP,OK,2,1,1.174,895178251,XOM,NYSE,
JNJ,JOHNSON & JOHNSON,OK,2,1,1.186,8719,JNJ,NYSE,
V,VISA INC CLASS A,OK,2,1,1.135,49462172,V,NYSE,
WMT,WALMART INC,OK,2,1,1.392,13824,WMT,NASDAQ,
ABBV,ABBVIE INC,OK,2,1,1.185,118089500,ABBV,NYSE,
CSCO,CISCO SYSTEMS INC,OK,2,1,1.074,268084,CSCO,NASDAQ,
MA,MASTERCARD INC CLASS A,OK,2,1,1.058,38685693,MA,NYSE,
AMAT,APPLIED MATERIAL INC,OK,2,1,1.146,266093,AMAT,NASDAQ,
COST,COSTCO WHOLESALE CORP,OK,2,1,1.262,272997,COST,NASDAQ,
INTC,INTEL CORPORATION,OK,2,1,1.141,270639,INTC,NASDAQ,
BAC,BANK OF AMERICA CORP,OK,2,1,1.356,10098,BAC,NYSE,
CAT,CATERPILLAR INC,OK,2,1,1.219,5437,CAT,NYSE,
LRCX,LAM RESEARCH CORP,OK,2,1,1.15,732440574,LRCX,NASDAQ,
UNH,UNITEDHEALTH GROUP INC,OK,2,1,1.016,13272,UNH,NYSE,
GE,GE AEROSPACE,OK,2,1,1.108,498843743,GE,NYSE,
PG,PROCTER & GAMBLE,OK,2,1,1.102,11054,PG,NYSE,
CVX,CHEVRON CORP,OK,2,1,1.055,5684,CVX,NYSE,
HD,HOME DEPOT INC,OK,2,1,1.335,7930,HD,NYSE,
KO,COCA-COLA,OK,2,1,1.193,8894,KO,NYSE,
MRK,MERCK & CO INC,OK,2,1,1.134,70101545,MRK,NYSE,
GS,GOLDMAN SACHS GROUP INC,OK,2,1,1.118,4627828,GS,NYSE,
PM,PHILIP MORRIS INTERNATIONAL INC,OK,2,1,1.146,49588376,PM,NYSE,
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,OK,2,1,1.101,444857009,PLTR,NASDAQ,
PANW,PALO ALTO NETWORKS INC,OK,2,1,1.262,110619459,PANW,NASDAQ,
NFLX,NETFLIX INC,OK,2,1,1.188,15124833,NFLX,NASDAQ,
GEV,GE VERNOVA INC,OK,2,1,1.021,691984365,GEV,NYSE,
KLAC,KLA CORP,OK,2,1,1.2,270957,KLAC,NASDAQ,
WFC,WELLS FARGO,OK,2,1,1.275,10375,WFC,NYSE,
RTX,RTX CORP,OK,2,1,1.066,415342104,RTX,NYSE,
TXN,TEXAS INSTRUMENT INC,OK,2,1,1.029,13096,TXN,NASDAQ,
MS,MORGAN STANLEY,OK,2,1,1.049,2841574,MS,NYSE,
LIN,LINDE PLC,OK,2,1,1.393,617155599,LIN,NASDAQ,
C,CITIGROUP INC,OK,2,1,1.337,87335484,C,NYSE,
ORCL,ORACLE CORP,OK,2,1,1.16,272800,ORCL,NYSE,
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,OK,2,1,1.104,370757467,CRWD,NASDAQ,
IBM,INTERNATIONAL BUSINESS MACHINES CO,OK,2,1,1.256,8314,IBM,NYSE,
TMO,THERMO FISHER SCIENTIFIC INC,OK,2,1,1.316,12869,TMO,NYSE,
AMGN,AMGEN INC,OK,2,1,1.191,266145,AMGN,NASDAQ,
SNDK,SANDISK CORP,OK,2,1,1.168,760250490,SNDK,NASDAQ,
MCD,MCDONALDS CORP,OK,2,1,1.287,9408,MCD,NYSE,
AXP,AMERICAN EXPRESS,OK,2,1,1.282,4721,AXP,NYSE,
PEP,PEPSICO INC,OK,2,1,1.115,11017,PEP,NASDAQ,
